arch_id,generation,val_accuracy,param_count,flops,latency
9acf07b1e34d0183,3,0.3908,26858,14877312,0.0
3bd416f96e713f44,3,0.3258,26778,53314816,0.0
06dc31913a8aeaf5,3,0.2954,10394,19760384,0.0
27372457d14f138b,3,0.4882,82154,39322240,0.0
c0d2daaccdeaba44,3,0.4904,79018,33030784,0.0
ae21375090501c7e,4,0.476,79082,33030784,0.0
9905e5ccdb375bca,4,0.3936,26858,14877312,0.0
3bd416f96e713f44,4,0.3174,26778,53314816,0.0
29c02277a32985c5,4,0.3686,26858,14877312,0.0
8f88802027e9e319,4,0.377,26858,14877312,0.0
7892b1cb0778bc6d,4,0.4558,79082,33030784,0.0
6097dd61525879f0,4,0.3304,27546,54887680,0.0
53bcdc933ce63cf6,4,0.3218,26858,54198912,0.0
ae21375090501c7e,5,0.4026,79082,33030784,0.0
9905e5ccdb375bca,5,0.3918,26858,14877312,0.0
3bd416f96e713f44,5,0.3248,26778,53314816,0.0
64289e0c5bcbbe30,5,0.376,13610,7438976,0.0
1797f7cd80b8e658,5,0.4516,52490,18154112,0.0
af0606d397b4698c,5,0.5076,79114,33030784,0.0
fc11dd4c8d1336a0,5,0.294,26778,53314816,0.0
9905e5ccdb375bca,5,0.3766,26858,14877312,0.0
